gamma,expected_return,risk_std
0.001,388.2085339980848,23.999500908467187
0.0016155980984398745,388.2085339980848,23.999500908467187
0.0026101572156825357,388.2085339980848,23.999500908467187
0.004216965034285823,388.2085339980848,23.999500908467187
0.006812920690579615,388.2085339980848,23.999500908467187
0.011006941712522098,388.2085339980848,23.999500908467187
0.01778279410038923,388.2085339980848,23.999500908467187
0.028729848333536655,388.2085339980848,23.999500908467187
0.046415888336127795,388.2085339980848,23.999500908467187
0.07498942093324558,378.1810277235687,20.03654868664303
0.12115276586285889,370.2616611395219,17.87856529428497
0.19573417814876617,358.4439973022661,15.513971359722571
0.31622776601683794,344.4304291791445,13.674390917762368
0.510896977450693,326.6771967654681,11.897229512081124
0.825404185268019,300.002829958501,10.080349841544534
1.333521432163324,265.13835241347954,8.254532754692171
2.1544346900318843,224.05127323652744,6.631692293134559
3.4807005884284132,173.2034086493552,4.996534805109705
5.623413251903491,141.81834505371808,4.202398153879198
9.085175756516872,122.49722458411145,3.857317782356057
14.677992676220706,110.53811143074464,3.7166317708107233
23.71373705661655,103.13582916455775,3.6613003267013555
38.31186849557293,98.55406946000312,3.639878969717068
61.8965818891261,95.71811681251049,3.6316385701684135
100.0,93.96275905971834,3.6284765608080547
