entity,weight
Google,1.0
AOL,0.0
IBM,0.0
Yahoo,0.0
Twitter,0.0
Symantec,0.0
Salesforce,0.0
SAP,0.0
Qualcomm,0.0
Oracle,0.0
Nokia,0.0
Microsoft,0.0
LinkedIn,0.0
Intel,0.0
HP,0.0
AT&T,0.0
Facebook,0.0
EMC,0.0
Dropbox,0.0
Dell,0.0
Cisco Systems,0.0
CA Technologies,0.0
BlackBerry,0.0
Apple,0.0
Amazon,0.0
Adobe,0.0
eBay,0.0
